id,name,normalized_name,gender,gender_is_inferred
87,Martin Prince,martin prince,male,False
88,Otto Mann,otto mann,male,False
89,Lou,lou,male,False
90,Todd Flanders,todd flanders,male,False
91,Dr. Marvin Monroe,dr marvin monroe,male,False
92,Dr. J. Loren Pyror,dr j loren pyror,male,False
93,Dewey Largo,dewey largo,male,False
94,Eddie,eddie,male,False
95,Teacher,teacher,male,False
96,Clerk,clerk,male,False
97,Father,father,male,False
98,Sherri Mackleberry,sherri mackleberry,female,False
99,JANEY,janey,female,False
100,Ms. Melon,ms melon,female,False
101,Interviewer,interviewer,male,False
102,Ethan Foley,ethan foley,male,False
103,Terri Mackleberry,terri mackleberry,female,False
104,Voice,voice,male,False
105,Receptionist,receptionist,female,False
106,Ms. Barr,ms barr,unknown,True
107,Newsman,newsman,unknown,True
108,Barflies,barflies,unknown,True
109,Boy Onlooker,boy onlooker,unknown,True
110,Champ,champ,unknown,True
111,NED,ned,unknown,True
112,Homer's Canyon Echo,homers canyon echo,unknown,True
113,Camper Father,camper father,unknown,True
114,Camper Mother,camper mother,unknown,True
115,Photographer,photographer,unknown,True
116,Game Warden,game warden,unknown,True
117,Reporter #1,reporter 1,unknown,True
118,Reporter #2,reporter 2,unknown,True
119,Flunky,flunky,unknown,True
120,Map Boy,map boy,unknown,True
121,Man #1,man 1,unknown,True
122,Man #2,man 2,unknown,True
123,German Scientist,german scientist,unknown,True
124,Beautiful French Scientist,beautiful french scientist,unknown,True
125,English Scientist,english scientist,unknown,True
126,Announcer #1,announcer 1,unknown,True
127,Radio Announcer #1,radio announcer 1,unknown,True
128,Churchgoing Woman,churchgoing woman,unknown,True
129,Girl On Screen,girl on screen,unknown,True
130,Boy On Screen,boy on screen,unknown,True
131,Usher,usher,unknown,True
132,Mr. Dandy,mr dandy,unknown,True
133,Radio Announcer #3,radio announcer 3,unknown,True
134,Jebediah Springfield,jebediah springfield,unknown,True
135,TV ANNOUNCER #3 CONT'D,tv announcer 3 contd,unknown,True
136,Mob,mob,unknown,True
137,Waiters,waiters,unknown,True
138,1st Waiter Quartet,1st waiter quartet,unknown,True
139,2nd Waiter Quartet,2nd waiter quartet,unknown,True
140,3rd Waiter Quartet,3rd waiter quartet,unknown,True
141,4TH QUARTET OF WAITERS,4th quartet of waiters,unknown,True
142,Counter Guy,counter guy,unknown,True
143,HELEN,helen,unknown,True
144,Another Worker,another worker,unknown,True
145,Female Mail Carrier,female mail carrier,unknown,True
146,Mr. Fisk,mr fisk,unknown,True
147,Eugene Fisk,eugene fisk,unknown,True
148,Workers,workers,unknown,True
149,Princess Kashmir,princess kashmir,unknown,True
150,Hoyt,hoyt,unknown,True
151,Girl #1,girl 1,unknown,True
152,Boy #1,boy 1,unknown,True
153,All Kids,all kids,unknown,True
154,Freddie,freddie,unknown,True
155,Lewis's Dad,lewiss dad,unknown,True
156,Al,al,unknown,True
157,Happy Man,happy man,unknown,True
158,Funky Guy,funky guy,unknown,True
159,Man At Door,man at door,unknown,True
160,Ticket-seller,ticket-seller,unknown,True
161,Stage Manager,stage manager,unknown,True
162,Theatre-goer #1,theatre-goer 1,unknown,True
163,Theatre-goer #2,theatre-goer 2,unknown,True
164,Theatre-goer #3,theatre-goer 3,unknown,True
165,Steward,steward,unknown,True
166,Adil Hoxha,adil hoxha,unknown,True
167,UGOLIN,ugolin,unknown,True
168,Male Announcer,male announcer,unknown,True
169,Military Man,military man,unknown,True
170,MARGE & BART,marge bart,unknown,True
171,Gendarme,gendarme,unknown,True
172,Cia Agent #1,cia agent 1,unknown,True
173,Cia Agent #2,cia agent 2,unknown,True
174,Brad,brad,unknown,True
175,Female Announcer,female announcer,unknown,True
176,Brittany,brittany,unknown,True
177,ITCHY & SCRATCHY CHORUS,itchy scratchy chorus,unknown,True
178,Police Artist,police artist,unknown,True
179,Scott Christian,scott christian,unknown,True
180,Reporter #3,reporter 3,unknown,True
181,District Attorney,district attorney,unknown,True
182,Merchant,merchant,unknown,True
183,Kent Brockman,kent brockman,male,False
184,Apu Nahasapeemapetilon,apu nahasapeemapetilon,male,False
185,Lenny Leonard,lenny leonard,male,False
186,Carl Carlson,carl carlson,male,False
187,Sideshow Bob,sideshow bob,male,False
188,Ralph Wiggum,ralph wiggum,male,False
189,Jimbo Jones,jimbo jones,male,False
190,Agnes Skinner,agnes skinner,female,False
191,Kearney Zzyzwicz,kearney zzyzwicz,male,False
192,DOLPH,dolph,male,False
193,Judge Snyder,judge snyder,male,False
194,Jacques,jacques,male,False
195,Salesman,salesman,male,False
196,Woman,woman,female,False
197,Rod Flanders,rod flanders,male,False
198,Manager,manager,male,False
199,Bleeding Gums Murphy,bleeding gums murphy,male,False
200,Cowboy Bob,cowboy bob,male,False
201,Jacqueline Bouvier,jacqueline bouvier,female,False
202,Waiter,waiter,male,False
203,Gulliver Dark,gulliver dark,male,False
204,Cesar,cesar,male,False
205,Stan,stan,male,False
206,Cashier,cashier,male,False
207,Krusty Doll,krusty doll,male,False
208,Lawyer,lawyer,male,False
209,Mother,mother,female,False
210,Foreperson,foreperson,unknown,True
211,Merchandiser #1,merchandiser 1,unknown,True
212,Merchandiser #3,merchandiser 3,unknown,True
213,Kbbl Weatherman,kbbl weatherman,unknown,True
214,Screener,screener,unknown,True
215,Worker One,worker one,unknown,True
216,Florist,florist,unknown,True
217,Lucille Botzcowski,lucille botzcowski,unknown,True
218,Maitre D',maitre d,unknown,True
219,Doofy,doofy,unknown,True
220,U-Squeal Operator,u-squeal operator,unknown,True
221,Tv Reporter,tv reporter,unknown,True
222,Bart's Voice,barts voice,unknown,True
223,Krabappel's Mouth,krabappels mouth,unknown,True
224,GRANDMA,grandma,unknown,True
225,Nurse Farrell,nurse farrell,unknown,True
226,Entire Town,entire town,unknown,True
227,Thomas Jefferson,thomas jefferson,unknown,True
228,John Adams,john adams,unknown,True
229,Samuel Chase,samuel chase,unknown,True
230,Roger Sherman,roger sherman,unknown,True
231,Benjamin Franklin,benjamin franklin,unknown,True
232,Tv Host,tv host,unknown,True
233,Tv Contestant,tv contestant,unknown,True
234,Good-looking Man,good-looking man,unknown,True
235,Dr. H. Boyle,dr h boyle,unknown,True
236,Mr. Winfield,mr winfield,unknown,True
237,Mourners,mourners,unknown,True
238,Other Runner,other runner,unknown,True
239,Jake,jake,unknown,True
240,Woman Applicant,woman applicant,unknown,True
241,Man In Tuxedo,man in tuxedo,unknown,True
242,Executive #1,executive 1,unknown,True
243,Executive #3,executive 3,unknown,True
244,Moving Man,moving man,unknown,True
245,House,house,unknown,True
246,Kang,kang,unknown,True
247,Serak The Preparer,serak the preparer,unknown,True
248,Kodos,kodos,unknown,True
249,V.O.,vo,unknown,True
250,Raven,raven,unknown,True
251,Dave Shutton,dave shutton,unknown,True
252,Chief Inspector,chief inspector,unknown,True
253,Dean Danielson,dean danielson,unknown,True
254,DANEILSON,daneilson,unknown,True
255,OLD BEARDED GUY,old bearded guy,unknown,True
256,Charles Darwin,charles darwin,unknown,True
257,Singers,singers,unknown,True
258,MARY BAILEY,mary bailey,unknown,True
259,Investigator #1,investigator 1,unknown,True
260,Investigator #2,investigator 2,unknown,True
261,Investigator #3,investigator 3,unknown,True
262,Make-up Man,make-up man,unknown,True
263,Gregor,gregor,unknown,True
264,GAMMILL,gammill,unknown,True
265,FLASH,flash,unknown,True
266,Player #1,player 1,unknown,True
267,P.A. Announcer,pa announcer,unknown,True
268,Dan Hoard,dan hoard,unknown,True
269,Vendor,vendor,unknown,True
270,VENDER,vender,unknown,True
271,MR. O'HARA,mr ohara,unknown,True
272,Man On Bus,man on bus,unknown,True
273,Player #2,player 2,unknown,True
274,Rasta #1,rasta 1,unknown,True
275,Rasta #2,rasta 2,unknown,True
276,Supervisor,supervisor,unknown,True
277,Tony Bennett,tony bennett,unknown,True
278,Capital City Goofball,capital city goofball,unknown,True
279,Dave Glass,dave glass,unknown,True
280,First Wife #3,first wife 3,unknown,True
281,First Wife #1,first wife 1,unknown,True
282,Hot Dog Man,hot dog man,unknown,True
283,Spectator #1,spectator 1,unknown,True
284,Spectator #2,spectator 2,unknown,True
285,Spectator #3,spectator 3,unknown,True
286,Clubhouse Attendant,clubhouse attendant,unknown,True
287,Dave Rosenfield,dave rosenfield,unknown,True
288,Librarian,librarian,unknown,True
289,SENIOR CITIZENS,senior citizens,unknown,True
290,Announcer #2,announcer 2,unknown,True
291,Mrs. Spencer,mrs spencer,unknown,True
292,Security Guard #1,security guard 1,unknown,True
293,Casey,casey,unknown,True
294,Rory,rory,unknown,True
295,Transient,transient,unknown,True
296,Uncle Sam,uncle sam,unknown,True
297,Audience,audience,unknown,True
298,Tv Voice #1,tv voice 1,unknown,True
299,Tv Voice #2,tv voice 2,unknown,True
300,Tv Voice #3,tv voice 3,unknown,True
301,ALL THREE TV VOICES,all three tv voices,unknown,True
302,Mayor Joe Quimby,mayor joe quimby,male,False
303,Maude Flanders,maude flanders,female,False
304,Helen Lovejoy,helen lovejoy,female,False
305,Jasper Beardly,jasper beardly,male,False
306,Man,man,male,False
307,Marty,marty,male,False
308,TV Announcer,tv announcer,male,False
309,Bill,bill,male,False
310,Director,director,male,False
311,Arnie Pye,arnie pye,male,False
312,Nurse,nurse,female,False
313,Karl,karl,male,False
314,Radio Announcer,radio announcer,male,False
315,British Commentator,british commentator,male,False
316,DANIELSON,danielson,male,False
317,ALL 3 ANNOUNCERS,all 3 announcers,unknown,True
318,LARGO,largo,unknown,True
319,SCRAPER,scraper,unknown,True
320,CLARK,clark,unknown,True
321,SMYTHE,smythe,unknown,True
322,Itchy & Scratchy Singers,itchy scratchy singers,unknown,True
323,Her Group,her group,unknown,True
324,Animator,animator,unknown,True
325,1ST BOARD MEMBER,1st board member,unknown,True
326,2nd Board Member,2nd board member,unknown,True
327,Squirrel,squirrel,unknown,True
328,Scratchy,scratchy,unknown,True
329,Itchy,itchy,unknown,True
330,Curator,curator,unknown,True
331,Della,della,unknown,True
332,Bailiff,bailiff,unknown,True
333,BURNS LAWYER,burns lawyer,unknown,True
334,Sushi Bar Chefs,sushi bar chefs,unknown,True
335,Hostess,hostess,unknown,True
336,Toshiro,toshiro,unknown,True
337,Master,master,unknown,True
338,Richie Sakai,richie sakai,unknown,True
339,Cellmate,cellmate,unknown,True
340,Crazy Calls,crazy calls,unknown,True
341,Smitty,smitty,unknown,True
342,Larry King,larry king,unknown,True
343,LARRY KING V.O.,larry king vo,unknown,True
344,Bald One,bald one,unknown,True
345,Police Captain,police captain,unknown,True
346,Fat One,fat one,unknown,True
347,Kim,kim,unknown,True
348,Estelle,estelle,unknown,True
349,MCINTYRE,mcintyre,unknown,True
350,Mrs. Bloominstein,mrs bloominstein,unknown,True
351,Coach Flanagan,coach flanagan,unknown,True
352,Mr. Seckofsky,mr seckofsky,unknown,True
353,Mr. Bouvier,mr bouvier,unknown,True
354,Chauffeur,chauffeur,unknown,True
355,PRINCIPAL,principal,unknown,True
356,Homer The Thief,homer the thief,unknown,True
357,Hezron,hezron,unknown,True
358,Zohar,zohar,unknown,True
359,Moses,moses,unknown,True
360,Cable Guy,cable guy,unknown,True
361,Comic,comic,unknown,True
362,Woman #1,woman 1,unknown,True
363,Woman #2,woman 2,unknown,True
364,Mexican Announcer,mexican announcer,unknown,True
365,Representative,representative,unknown,True
366,Cockfight Announcer,cockfight announcer,unknown,True
367,Davey,davey,unknown,True
368,Goliath,goliath,unknown,True
369,Panelist #1,panelist 1,unknown,True
370,Blockbuster Announcer,blockbuster announcer,unknown,True
371,Top Hat Announcer,top hat announcer,unknown,True
372,Stock Reporter,stock reporter,unknown,True
373,Boxing Announcer #1,boxing announcer 1,unknown,True
374,Boxing Announcer #2,boxing announcer 2,unknown,True
375,Challenger,challenger,unknown,True
376,Referee,referee,unknown,True
377,Kindly Old Gent,kindly old gent,unknown,True
378,Stanley,stanley,unknown,True
379,Busboy,busboy,unknown,True
380,Australian Boy,australian boy,unknown,True
381,Australian Girl,australian girl,unknown,True
382,Jeweler,jeweler,unknown,True
383,Senator Mendoza,senator mendoza,unknown,True
384,Board Member,board member,unknown,True
385,Female Commando,female commando,unknown,True
386,Theatre Manager,theatre manager,unknown,True
387,Floozy,floozy,unknown,True
388,Attendant,attendant,unknown,True
389,Policeman,policeman,unknown,True
390,Executive #2,executive 2,unknown,True
391,Head Engineer,head engineer,unknown,True
392,Engineer #2,engineer 2,unknown,True
393,Engineer #3,engineer 3,unknown,True
394,Female Singer,female singer,unknown,True
395,Counter Man,counter man,unknown,True
396,Flanders's Thoughts,flanderss thoughts,unknown,True
397,Kelly,kelly,unknown,True
398,Father McGrath,father mcgrath,unknown,True
399,Salesboy,salesboy,unknown,True
400,Hula Woman,hula woman,unknown,True
401,BEA,bea,unknown,True
402,Checker,checker,unknown,True
403,Dr. Julius Hibbert,dr julius hibbert,male,False
404,Groundskeeper Willie,groundskeeper willie,male,False
405,Troy McClure,troy mcclure,male,False
406,Lionel Hutz,lionel hutz,male,False
407,HERB,herb,male,False
408,Mona Simpson,mona simpson,female,False
409,'Roger Meyers,jr.',unknown,True
410,Blue-Haired Lawyer,blue-haired lawyer,male,False
411,Dr. Nick Riviera,dr nick riviera,male,False
412,Artie Ziff,artie ziff,male,False
413,Larry,larry,male,False
414,Principal Dondelinger,principal dondelinger,male,False
415,Emily,emily,female,False
416,Akira,akira,male,False
417,Jack,jack,male,False
418,Track Announcer,track announcer,male,False
419,Devil,devil,male,False
420,Farmer,farmer,male,False
421,Reporter,reporter,male,False
422,MURDOCK,murdock,male,False
423,Tracker,tracker,unknown,True
424,Mr. Hazelwood,mr hazelwood,unknown,True
425,Cabbie,cabbie,unknown,True
426,KENT,kent,unknown,True
427,MONROE,monroe,unknown,True
428,Old Man Daly,old man daly,unknown,True
429,Old Man McGrath,old man mcgrath,unknown,True
430,Plato,plato,unknown,True
431,Croupier,croupier,unknown,True
432,Recorded Announcer,recorded announcer,unknown,True
433,Old Woman In Line,old woman in line,unknown,True
434,Monitor #1,monitor 1,unknown,True
435,Monitor #2,monitor 2,unknown,True
436,Female Newscaster,female newscaster,unknown,True
437,Mr. Schindler,mr schindler,unknown,True
438,Student,student,unknown,True
439,Registrar,registrar,unknown,True
440,Professor Lombardo,professor lombardo,unknown,True
441,BART & LISA,bart lisa,unknown,True
442,Artist,artist,unknown,True
443,Delivery Man,delivery man,unknown,True
444,MR. BURNS' GEOMETRIC SHAPES,mr burns geometric shapes,unknown,True
445,RINGO,ringo,unknown,True
446,WETHERBY,wetherby,unknown,True
447,MRS. HOOVER,mrs hoover,unknown,True
448,Chuck,chuck,unknown,True
449,Classmate,classmate,unknown,True
450,Terri/sherri,terrisherri,unknown,True
451,Woman In Booth,woman in booth,unknown,True
452,Landlady,landlady,unknown,True
453,Kid Reporter,kid reporter,unknown,True
454,Husband Of Marge's Friend,husband of marges friend,unknown,True
455,Sophisticate #1,sophisticate 1,unknown,True
456,Sophisticate #2,sophisticate 2,unknown,True
457,Sophisticate #3,sophisticate 3,unknown,True
458,Sultan,sultan,unknown,True
459,Worm Man,worm man,unknown,True
460,Convict,convict,unknown,True
461,Customer,customer,unknown,True
462,DIAMOND JOE,diamond joe,unknown,True
463,Lost And Found Guy,lost and found guy,unknown,True
464,Radioactive Man,radioactive man,unknown,True
465,Fallout Boy,fallout boy,unknown,True
466,Convention Director,convention director,unknown,True
467,BUDDY,buddy,unknown,True
468,Dealer,dealer,unknown,True
469,Young Patty,young patty,unknown,True
470,Young Selma,young selma,unknown,True
471,Older Patty,older patty,unknown,True
472,Older Selma,older selma,unknown,True
473,Adult Narrator,adult narrator,unknown,True
474,Teller,teller,unknown,True
475,Asa,asa,unknown,True
476,Soap Actress,soap actress,unknown,True
477,Soap Actor,soap actor,unknown,True
478,Osvaldo,osvaldo,unknown,True
479,Mail Person,mail person,unknown,True
480,Roman,roman,unknown,True
481,Postal Worker,postal worker,unknown,True
482,Joey,joey,unknown,True
483,Guard #1,guard 1,unknown,True
484,Guard #2,guard 2,unknown,True
485,Psychiatrist,psychiatrist,unknown,True
486,Orderly,orderly,unknown,True
487,Floyd,floyd,unknown,True
488,Bart's Head,barts head,unknown,True
489,Voice On Phone,voice on phone,unknown,True
490,Leon Kompowsky,leon kompowsky,unknown,True
491,Minnesota Girl,minnesota girl,unknown,True
492,Alabama Boy,alabama boy,unknown,True
493,QUEENS BOY,queens boy,unknown,True
494,Female Judge,female judge,unknown,True
495,Dad,dad,unknown,True
496,Flight Attendant,flight attendant,unknown,True
497,Irs Man,irs man,unknown,True
498,Hotel Guest,hotel guest,unknown,True
499,Miss Crowley,miss crowley,unknown,True
500,Truong/maria,truongmaria,unknown,True
501,TRUONG,truong,unknown,True
502,MARIA,maria,unknown,True
503,Worker,worker,unknown,True
504,Guide,guide,unknown,True
505,Lobbyist,lobbyist,unknown,True
506,Arnold,arnold,unknown,True
507,Newlywed Wife,newlywed wife,unknown,True
508,White Trash Woman #1,white trash woman 1,unknown,True
509,Man #3,man 3,unknown,True
510,Old Timer,old timer,unknown,True
511,Guy,guy,unknown,True
512,Songster,songster,unknown,True
513,Page,page,unknown,True
514,Senator,senator,unknown,True
515,Oil Developer,oil developer,unknown,True
516,Professor Jonathan Frink,professor jonathan frink,male,False
517,Snake Jailbird,snake jailbird,male,False
518,Miss Hoover,miss hoover,female,False
519,BERGSTROM,bergstrom,male,False
520,'MICHAEL',michael,male,False
521,Pilot,pilot,male,False
522,John,john,male,False
523,Host,host,male,False
524,Guard,guard,male,False
525,Gloria,gloria,female,False
526,Captain,captain,male,False
527,Mrs. Glick,mrs glick,female,False
528,Doctor,doctor,male,False
529,BARBARA,barbara,female,False
530,Dave,dave,male,False
531,Wiseguy,wiseguy,male,False
532,Agent,agent,unknown,True
533,Speaker,speaker,unknown,True
534,Majority Leader,majority leader,unknown,True
535,Everyone Else,everyone else,unknown,True
536,President,president,unknown,True
537,Foreign Dignitary,foreign dignitary,unknown,True
538,Paper Boy,paper boy,unknown,True
539,Sportscaster #1,sportscaster 1,unknown,True
540,Girl,girl,unknown,True
541,Neighborhood Guy,neighborhood guy,unknown,True
542,Homemaker,homemaker,unknown,True
543,Landscaper,landscaper,unknown,True
544,Choreographer,choreographer,unknown,True
545,George Washington,george washington,unknown,True
546,Video Voice,video voice,unknown,True
547,Man Shopper,man shopper,unknown,True
548,HOMER (CONT'D,homer contd,unknown,True
549,Collection Agent,collection agent,unknown,True
550,Wife,wife,unknown,True
551,Shoppers,shoppers,unknown,True
552,Legs,legs,unknown,True
553,Race Announcer,race announcer,unknown,True
554,Jack Larson,jack larson,unknown,True
555,Fbi Agent #1,fbi agent 1,unknown,True
556,Fbi Agent #2,fbi agent 2,unknown,True
557,Rival Gang Leader,rival gang leader,unknown,True
558,Psychic,psychic,unknown,True
559,Skinner Body,skinner body,unknown,True
560,Prosecuting Attorney,prosecuting attorney,unknown,True
561,Joe,joe,unknown,True
562,Neil,neil,unknown,True
563,Calm Woman,calm woman,unknown,True
564,Mr. Devereaux,mr devereaux,unknown,True
565,Margarita,margarita,unknown,True
566,Program Voices,program voices,unknown,True
567,Female Worker,female worker,unknown,True
568,Male Worker,male worker,unknown,True
569,Contestant,contestant,unknown,True
570,Magic Johnson,magic johnson,unknown,True
571,Aristotle,aristotle,unknown,True
572,Thought Bubble Barney,thought bubble barney,unknown,True
573,Female Voice,female voice,unknown,True
574,SCOTT,scott,unknown,True
575,Miss Lois Pennycandy,miss lois pennycandy,unknown,True
576,Sexy Female Recording,sexy female recording,unknown,True
577,PENNYCANDY,pennycandy,unknown,True
578,Rabbi #1,rabbi 1,unknown,True
579,Rowdy Rabbi,rowdy rabbi,unknown,True
580,Martian,martian,unknown,True
581,Caller,caller,unknown,True
582,MONSIGNOR DALEY,monsignor daley,unknown,True
583,Yiddle,yiddle,unknown,True
584,Rabbi #2,rabbi 2,unknown,True
585,Waitress,waitress,unknown,True
586,Stagehand,stagehand,unknown,True
587,Airport Announcer,airport announcer,unknown,True
588,Customs Agent,customs agent,unknown,True
589,Military Cops,military cops,unknown,True
590,English Diplomat,english diplomat,unknown,True
591,Argentine Diplomat,argentine diplomat,unknown,True
592,Female Office Worker,female office worker,unknown,True
593,Male Office Worker,male office worker,unknown,True
594,Townspeople,townspeople,unknown,True
595,Patrons,patrons,unknown,True
596,'Vin Scully',vin scully,unknown,True
597,Kids In Audience,kids in audience,unknown,True
598,DR MONROE,dr monroe,unknown,True
599,Crypt Keeper Willie,crypt keeper willie,unknown,True
600,Robot,robot,unknown,True
601,Homer-Ape,homer-ape,unknown,True
602,Little Man,little man,unknown,True
603,Teenager,teenager,unknown,True
604,Baby Lisa,baby lisa,unknown,True
605,Salesclerk,salesclerk,unknown,True
606,Millicent,millicent,unknown,True
607,Female Clerk,female clerk,unknown,True
608,Kevin,kevin,unknown,True
609,Johnny Carson,johnny carson,unknown,True
610,Scoey,scoey,unknown,True
611,Teenage Clerk,teenage clerk,unknown,True
612,DAVE JR.,dave jr,unknown,True
613,Official,official,unknown,True
614,Voice From Trunk,voice from trunk,unknown,True
615,Ronnie,ronnie,unknown,True
616,DREDERICK,drederick,unknown,True
617,Wanda,wanda,unknown,True
618,Girls,girls,unknown,True
619,Patron #1,patron 1,unknown,True
620,Patron #2,patron 2,unknown,True
621,Collette,collette,unknown,True
622,HARV,harv,unknown,True
623,Bernard,bernard,unknown,True
624,Aerosmith,aerosmith,unknown,True
625,Steven Tyler,steven tyler,unknown,True
626,Joe Perry,joe perry,unknown,True
627,Brad Whitford,brad whitford,unknown,True
628,Fat Tony,fat tony,male,False
629,Louie,louie,male,False
630,Rabbi Hyman Krustofsky,rabbi hyman krustofsky,male,False
631,Luann Van Houten,luann van houten,female,False
632,Colonel,colonel,male,False
633,Football Announcer,football announcer,male,False
634,Executive,executive,male,False
635,D.J.,dj,male,False
636,Becky,becky,female,False
637,Instructor,instructor,male,False
638,Aide,aide,male,False
639,Lunchlady Doris,lunchlady doris,female,False
640,Everyone,everyone,unknown,True
641,Bartender,bartender,unknown,True
642,One-eyed Bartender,one-eyed bartender,unknown,True
643,Flowers,flowers,unknown,True
644,Tom Hamilton,tom hamilton,unknown,True
645,Joey Kramer,joey kramer,unknown,True
646,Snappy,snappy,unknown,True
647,Broker,broker,unknown,True
648,Hans,hans,unknown,True
649,Fritz,fritz,unknown,True
650,German Teacher,german teacher,unknown,True
651,Boxer,boxer,unknown,True
652,Mr. Thorson,mr thorson,unknown,True
653,Angel,angel,unknown,True
654,Patient,patient,unknown,True
655,Justice Of The Peace,justice of the peace,unknown,True
656,Groom,groom,unknown,True
657,Applicant #1,applicant 1,unknown,True
658,Applicant #2,applicant 2,unknown,True
659,Applicants,applicants,unknown,True
660,Tourist Kid,tourist kid,unknown,True
661,Tourist Dad,tourist dad,unknown,True
662,Boss,boss,unknown,True
663,Elderly Lady,elderly lady,unknown,True
664,Repo Man,repo man,unknown,True
665,Driver,driver,unknown,True
666,M.C.,mc,unknown,True
667,Boy,boy,unknown,True
668,Operator,operator,unknown,True
669,Barber,barber,unknown,True
670,Rosarita,rosarita,unknown,True
671,Weasel,weasel,unknown,True
672,Robot Weasel,robot weasel,unknown,True
673,Señor Beaver-otti,señor beaver-otti,unknown,True
674,Robot Animals,robot animals,unknown,True
675,Fat Cop,fat cop,unknown,True
676,Falcon Man,falcon man,unknown,True
677,Sailor,sailor,unknown,True
678,Sting,sting,unknown,True
679,Choir,choir,unknown,True
680,Souvenir Hawker,souvenir hawker,unknown,True
681,Station Announcer,station announcer,unknown,True
682,Old Lady #1,old lady 1,unknown,True
683,Bret,bret,unknown,True
684,JIMMY,jimmy,unknown,True
685,Sportscaster,sportscaster,unknown,True
686,Coach,coach,unknown,True
687,Football Announcer #2,football announcer 2,unknown,True
688,Player,player,unknown,True
689,Marco,marco,unknown,True
690,Box,box,unknown,True
691,Nutty Comedian,nutty comedian,unknown,True
692,Alien,alien,unknown,True
693,Duff Announcer,duff announcer,unknown,True
694,Nick #2,nick 2,unknown,True
695,Commercial Guy,commercial guy,unknown,True
696,Man On Phone,man on phone,unknown,True
697,Bus Driver,bus driver,unknown,True
698,Policewoman,policewoman,unknown,True
699,Different Announcer,different announcer,unknown,True
